Australian Bureau of Statistics

"2021 Census - counting persons, place of enumeration"
"STATE (EN)"
"Counting: Person Records"

Filters:
"Default summation","Person Records"


"STATE (EN)",
"New South Wales",8069984,
"Victoria",6472911,
"Queensland",5210647,
"South Australia",1776877,
"Western Australia",2676904,
"Tasmania",553908,
"Northern Territory",264516,
"Australian Capital Territory",453454,
"Other Territories",5446,
"Total",25484656,

"Data source: Census of Population and Housing, 2021, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2026, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
