Australian Bureau of Statistics

"2021 Census - counting persons, place of enumeration"
"INGP Indigenous Status by AGE5P Age in Five Year Groups and SEXP Sex"
"Counting: Person Records"

Filters:
"Default summation","Person Records"

"AGE5P Age in Five Year Groups","0-4 years",,"5-9 years",,"10-14 years",,"15-19 years",,"20-24 years",,"25-29 years",,"30-34 years",,"35-39 years",,"40-44 years",,"45-49 years",,"50-54 years",,"55-59 years",,"60-64 years",,"65-69 years",,"70-74 years",,"75-79 years",,"80-84 years",,"85-89 years",,"90-94 years",,"95-99 years",,"100 years and over",,"Total",,
"SEXP Sex","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female",
"INGP Indigenous Status",
"Non-Indigenous",676170,639178,729940,691544,731983,691541,674066,637649,727607,699866,802870,806042,826566,875040,830273,869049,751319,776445,740142,775868,727019,768998,699405,737293,663402,712427,587024,634758,529094,567261,370306,405303,237248,282698,127794,177648,54464,95107,11868,28689,1032,3917,11499612,11876337,
"Aboriginal",40175,37747,42031,39055,41899,40256,37135,35409,32413,31952,29046,29193,24693,25436,20913,22304,18004,19516,18207,20007,17367,19806,14591,16572,12209,13616,8775,9827,5832,6488,3053,3583,1471,2063,595,938,177,368,51,85,3,11,368654,374226,
"Torres Strait Islander",1553,1482,1604,1571,1886,1705,1588,1628,1562,1399,1322,1180,1092,1084,999,955,970,936,944,969,905,861,771,766,624,657,494,517,361,412,195,244,128,172,65,77,21,43,5,12,0,5,17088,16679,
"Both Aboriginal and Torres Strait Islander",2590,2392,2442,2431,2400,2332,1878,1863,1611,1616,1383,1331,1059,1156,875,886,760,793,694,764,624,659,489,555,452,446,304,344,208,248,106,160,54,71,28,49,3,27,6,3,0,0,17963,18120,
"Not stated",32072,30451,38692,36824,38423,35629,34658,31933,43628,37881,52219,47090,50981,45971,48634,43925,43360,36746,42533,35846,41252,33454,38979,32487,34476,29793,29300,27111,25788,25089,18975,19998,13574,17126,8443,12751,4487,8652,1242,3064,117,446,641839,592276,
"Overseas visitor",761,723,600,552,544,550,917,798,3967,2312,4843,3342,3903,2555,2725,1634,2187,1342,1854,1304,1868,1619,1820,2432,1972,3020,2073,2689,1616,1857,875,934,437,499,201,274,77,86,51,53,7,4,33295,28570,
"Total",753320,711973,815305,771984,817135,772011,750250,709282,810791,775022,891683,888177,908293,951244,904419,938762,816597,835781,804370,834751,789039,825402,756061,790107,713131,759958,627968,675252,562895,601348,393509,430215,252910,302627,137132,191737,59238,104290,13227,31905,1175,4385,12578447,12906202,

"Data source: Census of Population and Housing, 2021, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2026, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
