Australian Bureau of Statistics

"2021 Census - counting persons, place of enumeration"
"LFSP Labour Force Status"
"Counting: Person Records"

Filters:
"Default summation","Person Records"


"LFSP Labour Force Status",
"Employed, worked full-time",7095103,
"Employed, worked part-time",3962550,
"Employed, away from work",991758,
"Unemployed, looking for full-time work",350190,
"Unemployed, looking for part-time work",296250,
"Not in the labour force",6888081,
"Not stated",1200851,
"Not applicable",4638004,
"Overseas visitor",61860,
"Total",25484656,

"Data source: Census of Population and Housing, 2021, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2026, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
