Australian Bureau of Statistics

"2021 Census - counting persons, place of enumeration"
"HIND Total Household Income (weekly)"
"Counting: Person Records"

Filters:
"Default summation","Person Records"


"HIND Total Household Income (weekly)",
"Negative income",66962,
"Nil income",234860,
"$1-$149 ($1-$7,799)",104221,
"$150-$299 ($7,800-$15,599)",172764,
"$300-$399 ($15,600-$20,799)",276080,
"$400-$499 ($20,800-$25,999)",700064,
"$500-$649 ($26,000-$33,799)",605810,
"$650-$799 ($33,800-$41,599)",1078413,
"$800-$999 ($41,600-$51,999)",1123682,
"$1,000-$1,249 ($52,000-$64,999)",1384701,
"$1,250-$1,499 ($65,000-$77,999)",1583477,
"$1,500-$1,749 ($78,000-$90,999)",1296470,
"$1,750-$1,999 ($91,000-$103,999)",1333181,
"$2,000-$2,499 ($104,000-$129,999)",2900759,
"$2,500-$2,999 ($130,000-$155,999)",2158620,
"$3,000-$3,499 ($156,000-$181,999)",1879127,
"$3,500-$3,999 ($182,000-$207,999)",1260393,
"$4,000-$4,499 ($208,000-$233,999)",753387,
"$4,500-$4,999 ($234,000-$259,999)",1159116,
"$5,000-$5,999 ($260,000-$311,999)",974086,
"$6,000-$7,999 ($312,000-$415,999)",847792,
"$8,000 or more ($416,000 or more)",333305,
"Partial income stated",1272562,
"All incomes not stated",350680,
"Not applicable",1634146,
"Total",25484656,

"Data source: Census of Population and Housing, 2021, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2026, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
