Australian Bureau of Statistics

"2021 Census - cultural diversity"
"RA (UR)"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"


"RA (UR)",
"Major Cities of Australia (SA)",1344200,
"Inner Regional Australia (SA)",175307,
"Outer Regional Australia (SA)",201259,
"Remote Australia (SA)",43592,
"Very Remote Australia (SA)",13768,
"Migratory - Offshore - Shipping (SA)",12,
"No usual address (SA)",3377,
"Total",1781516,

"Dataset: Census of Population and Housing, 2021, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2025, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
